row_index,source,dataset,filename,filepath,speaker,raw_label,emotion,augmentation,n_samples,real_frames
29,processed,inesco,fcim_a241.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a241.wav,fcim,a,Angry,none,17408,109
30,processed,inesco,fcim_a242.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a242.wav,fcim,a,Angry,none,64512,401
31,processed,inesco,fcim_a243.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a243.wav,fcim,a,Angry,none,32256,202
32,processed,inesco,fcim_a244.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a244.wav,fcim,a,Angry,none,28672,180
33,processed,inesco,fcim_a245.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a245.wav,fcim,a,Angry,none,34816,218
34,processed,inesco,fcim_a246.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a246.wav,fcim,a,Angry,none,13824,87
35,processed,inesco,fcim_a247.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a247.wav,fcim,a,Angry,none,51712,324
36,processed,inesco,fcim_a248.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a248.wav,fcim,a,Angry,none,35840,225
37,processed,inesco,fcim_a249.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a249.wav,fcim,a,Angry,none,43520,273
38,processed,inesco,fcim_a250.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a250.wav,fcim,a,Angry,none,50688,317
39,processed,inesco,fcim_a251.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a251.wav,fcim,a,Angry,none,47104,295
40,processed,inesco,fcim_a252.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a252.wav,fcim,a,Angry,none,56832,356
41,processed,inesco,fcim_a253.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a253.wav,fcim,a,Angry,none,34304,215
42,processed,inesco,fcim_a254.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a254.wav,fcim,a,Angry,none,33280,209
43,processed,inesco,fcim_a255.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a255.wav,fcim,a,Angry,none,49152,308
44,processed,inesco,fcim_a256.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a256.wav,fcim,a,Angry,none,66048,401
45,processed,inesco,fcim_a257.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a257.wav,fcim,a,Angry,none,37888,237
46,processed,inesco,fcim_a258.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a258.wav,fcim,a,Angry,none,26624,167
47,processed,inesco,fcim_a259.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a259.wav,fcim,a,Angry,none,36352,228
48,processed,inesco,fcim_a260.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a260.wav,fcim,a,Angry,none,45568,285
49,processed,inesco,fcim_a261.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a261.wav,fcim,a,Angry,none,41472,260
50,processed,inesco,fcim_a262.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a262.wav,fcim,a,Angry,none,29696,186
51,processed,inesco,fcim_a263.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a263.wav,fcim,a,Angry,none,27648,173
52,processed,inesco,fcim_a264.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a264.wav,fcim,a,Angry,none,15872,100
53,processed,inesco,fcim_a265.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a265.wav,fcim,a,Angry,none,19456,122
54,processed,inesco,fcim_a266.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a266.wav,fcim,a,Angry,none,59904,375
55,processed,inesco,fcim_a267.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a267.wav,fcim,a,Angry,none,24064,151
56,processed,inesco,fcim_a268.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a268.wav,fcim,a,Angry,none,14336,90
57,processed,inesco,fcim_a269.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a269.wav,fcim,a,Angry,none,24576,154
58,processed,inesco,fcim_a270.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a270.wav,fcim,a,Angry,none,27648,173
59,processed,inesco,fcim_a271.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a271.wav,fcim,a,Angry,none,54784,343
60,processed,inesco,fcim_a272.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a272.wav,fcim,a,Angry,none,51712,324
61,processed,inesco,fcim_a273.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a273.wav,fcim,a,Angry,none,39424,247
62,processed,inesco,fcim_a274.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a274.wav,fcim,a,Angry,none,52736,330
63,processed,inesco,fcim_a275.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a275.wav,fcim,a,Angry,none,23040,145
64,processed,inesco,fcim_a276.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a276.wav,fcim,a,Angry,none,38912,244
65,processed,inesco,fcim_a277.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a277.wav,fcim,a,Angry,none,41472,260
66,processed,inesco,fcim_a278.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a278.wav,fcim,a,Angry,none,83968,401
67,processed,inesco,fcim_a279.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a279.wav,fcim,a,Angry,none,46080,289
68,processed,inesco,fcim_a280.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a280.wav,fcim,a,Angry,none,45056,282
69,processed,inesco,fcim_a281.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a281.wav,fcim,a,Angry,none,44032,276
70,processed,inesco,fcim_a282.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a282.wav,fcim,a,Angry,none,35840,225
71,processed,inesco,fcim_a283.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a283.wav,fcim,a,Angry,none,57344,359
72,processed,inesco,fcim_a284.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a284.wav,fcim,a,Angry,none,41984,263
73,processed,inesco,fcim_a285.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a285.wav,fcim,a,Angry,none,47104,295
74,processed,inesco,fcim_a286.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a286.wav,fcim,a,Angry,none,57856,362
75,processed,inesco,fcim_a287.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a287.wav,fcim,a,Angry,none,29696,186
76,processed,inesco,fcim_a288.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a288.wav,fcim,a,Angry,none,35328,221
77,processed,inesco,fcim_a289.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a289.wav,fcim,a,Angry,none,21504,135
78,processed,inesco,fcim_a290.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a290.wav,fcim,a,Angry,none,47616,298
79,processed,inesco,fcim_a291.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a291.wav,fcim,a,Angry,none,23552,148
80,processed,inesco,fcim_a292.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a292.wav,fcim,a,Angry,none,13312,84
81,processed,inesco,fcim_a293.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a293.wav,fcim,a,Angry,none,32768,205
82,processed,inesco,fcim_a294.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a294.wav,fcim,a,Angry,none,59392,372
83,processed,inesco,fcim_a295.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a295.wav,fcim,a,Angry,none,48128,301
84,processed,inesco,fcim_a296.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a296.wav,fcim,a,Angry,none,24576,154
85,processed,inesco,fcim_a297.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a297.wav,fcim,a,Angry,none,12288,77
86,processed,inesco,fcim_a298.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a298.wav,fcim,a,Angry,none,25600,161
87,processed,inesco,fcim_a299.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a299.wav,fcim,a,Angry,none,43008,269
88,processed,inesco,fcim_a300.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a300.wav,fcim,a,Angry,none,85504,401
89,processed,inesco,fcim_a301.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a301.wav,fcim,a,Angry,none,35840,225
90,processed,inesco,fcim_a302.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a302.wav,fcim,a,Angry,none,57344,359
91,processed,inesco,fcim_a303.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a303.wav,fcim,a,Angry,none,49152,308
92,processed,inesco,fcim_a304.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a304.wav,fcim,a,Angry,none,20992,132
93,processed,inesco,fcim_a305.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a305.wav,fcim,a,Angry,none,49664,311
94,processed,inesco,fcim_a306.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a306.wav,fcim,a,Angry,none,50176,314
95,processed,inesco,fcim_a307.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a307.wav,fcim,a,Angry,none,30208,189
96,processed,inesco,fcim_a308.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a308.wav,fcim,a,Angry,none,53760,337
97,processed,inesco,fcim_a309.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a309.wav,fcim,a,Angry,none,9216,58
98,processed,inesco,fcim_a310.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a310.wav,fcim,a,Angry,none,15360,97
99,processed,inesco,fcim_a311.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a311.wav,fcim,a,Angry,none,15360,97
100,processed,inesco,fcim_a312.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a312.wav,fcim,a,Angry,none,30720,193
101,processed,inesco,fcim_a313.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a313.wav,fcim,a,Angry,none,30720,193
102,processed,inesco,fcim_a314.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a314.wav,fcim,a,Angry,none,38912,244
103,processed,inesco,fcim_a315.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a315.wav,fcim,a,Angry,none,47616,298
104,processed,inesco,fcim_a316.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a316.wav,fcim,a,Angry,none,65536,401
105,processed,inesco,fcim_a317.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a317.wav,fcim,a,Angry,none,58368,365
106,processed,inesco,fcim_a318.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a318.wav,fcim,a,Angry,none,39424,247
107,processed,inesco,fcim_a319.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a319.wav,fcim,a,Angry,none,78336,401
108,processed,inesco,fcim_a320.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a320.wav,fcim,a,Angry,none,17920,113
109,processed,inesco,fcim_a321.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a321.wav,fcim,a,Angry,none,10752,68
110,processed,inesco,fcim_a322.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a322.wav,fcim,a,Angry,none,9216,58
111,processed,inesco,fcim_a323.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a323.wav,fcim,a,Angry,none,8192,52
112,processed,inesco,fcim_a324.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a324.wav,fcim,a,Angry,none,24576,154
113,processed,inesco,fcim_a325.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a325.wav,fcim,a,Angry,none,23040,145
114,processed,inesco,fcim_a326.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a326.wav,fcim,a,Angry,none,34304,215
115,processed,inesco,fcim_a327.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a327.wav,fcim,a,Angry,none,38400,241
116,processed,inesco,fcim_a328.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a328.wav,fcim,a,Angry,none,32256,202
117,processed,inesco,fcim_a329.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a329.wav,fcim,a,Angry,none,28672,180
118,processed,inesco,fcim_a330.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a330.wav,fcim,a,Angry,none,15360,97
119,processed,inesco,fcim_a331.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a331.wav,fcim,a,Angry,none,29184,183
120,processed,inesco,fcim_a333.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a333.wav,fcim,a,Angry,none,13312,84
121,processed,inesco,fcim_a334.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a334.wav,fcim,a,Angry,none,28672,180
122,processed,inesco,fcim_a335.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a335.wav,fcim,a,Angry,none,28672,180
123,processed,inesco,fcim_a336.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a336.wav,fcim,a,Angry,none,29696,186
124,processed,inesco,fcim_a337.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a337.wav,fcim,a,Angry,none,31744,199
125,processed,inesco,fcim_a338.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a338.wav,fcim,a,Angry,none,27648,173
126,processed,inesco,fcim_a339.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a339.wav,fcim,a,Angry,none,41472,260
127,processed,inesco,fcim_a340.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a340.wav,fcim,a,Angry,none,14848,93
128,processed,inesco,fcim_a341.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a341.wav,fcim,a,Angry,none,42496,266
129,processed,inesco,fcim_a342.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a342.wav,fcim,a,Angry,none,33280,209
130,processed,inesco,fcim_a343.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a343.wav,fcim,a,Angry,none,29184,183
131,processed,inesco,fcim_a344.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a344.wav,fcim,a,Angry,none,29184,183
132,processed,inesco,fcim_a345.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a345.wav,fcim,a,Angry,none,32256,202
133,processed,inesco,fcim_a346.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a346.wav,fcim,a,Angry,none,46080,289
134,processed,inesco,fcim_a347.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a347.wav,fcim,a,Angry,none,33280,209
135,processed,inesco,fcim_a348.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a348.wav,fcim,a,Angry,none,16896,106
136,processed,inesco,fcim_a349.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a349.wav,fcim,a,Angry,none,40448,253
137,processed,inesco,fcim_a350.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a350.wav,fcim,a,Angry,none,71168,401
138,processed,inesco,fcim_a351.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a351.wav,fcim,a,Angry,none,40960,257
139,processed,inesco,fcim_a352.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a352.wav,fcim,a,Angry,none,17408,109
140,processed,inesco,fcim_a353.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a353.wav,fcim,a,Angry,none,40448,253
141,processed,inesco,fcim_a354.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a354.wav,fcim,a,Angry,none,50176,314
142,processed,inesco,fcim_a355.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a355.wav,fcim,a,Angry,none,39424,247
143,processed,inesco,fcim_a356.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a356.wav,fcim,a,Angry,none,51712,324
144,processed,inesco,fcim_a357.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a357.wav,fcim,a,Angry,none,31744,199
145,processed,inesco,fcim_a358.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a358.wav,fcim,a,Angry,none,21504,135
146,processed,inesco,fcim_a359.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a359.wav,fcim,a,Angry,none,34816,218
147,processed,inesco,fcim_a360.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a360.wav,fcim,a,Angry,none,14848,93
148,processed,inesco,fcim_a361.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a361.wav,fcim,a,Angry,none,23040,145
149,processed,inesco,fcim_a362.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a362.wav,fcim,a,Angry,none,12800,81
150,processed,inesco,fcim_a363.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a363.wav,fcim,a,Angry,none,22016,138
151,processed,inesco,fcim_a364.wav,inesco/INESCO Dataset Indonesian Expressive Speech Corpus/INESCO Dataset/Female/fcim/fcim_a364.wav,fcim,a,Angry,none,24064,151
